Nombre_1,Apellido_1,CUI_1,AbreviacionInstitucion_1,TipoCuenta_1,Nombre_2,Apellido_2,CUI_2,AbreviacionInstitucion_2,TipoCuenta_2,MontoTransferencia,FechaTransferencia,tipo_operacion
Abigale,Crann,1187255777,BI,Ahorro,Nelia,Hathway,1962610551,BI,Monetaria en $,7822,2020-03-20 16:10:15,debito
Abigale,Crann,1187255777,BI,Ahorro,Carmita,Hiscoke,8640571546,BAM,Monetaria en Q,7176,2021-01-07 17:31:26,debito
Abigale,Crann,1187255777,BI,Ahorro,Daffy,Marages,2720935689,Promerica,Monetaria en Q,9920,2020-12-22 08:46:01,debito
Abigale,Crann,1187255777,BAM,Monetaria en $,Joelynn,De Gregoli,9835876975,Promerica,Ahorro,6296,2020-04-28 10:56:22,debito
Alexander,Amor,7361225500,Promerica,Ahorro,Deni,Tarn,6467582497,BANRURAL,Monetaria en $,9703,2020-05-09 19:47:21,debito
Alexander,Amor,7361225500,Promerica,Ahorro,Horatia,Brumpton,1653130695,G&T,Monetaria en Q,4550,2021-01-28 18:26:16,debito
Alexander,Amor,7361225500,Promerica,Ahorro,Gracia,Burchill,5981356200,BANRURAL,Monetaria en $,7075,2020-03-13 14:48:06,debito
Alexander,Amor,7361225500,Promerica,Ahorro,Giordano,Rimington,270162925,BANRURAL,Ahorro,8540,2020-09-18 15:08:25,debito
Alexander,Amor,7361225500,Promerica,Ahorro,Nelia,Hathway,1962610551,G&T,Monetaria en Q,8030,2020-12-15 17:00:58,debito
Alexander,Amor,7361225500,Promerica,Ahorro,Koressa,Knowler,7737952055,Promerica,Ahorro,3158,2021-01-01 20:57:02,debito
Alfie,Castellaccio,2344960856,BAM,Monetaria en Q,Ardys,Cave,3418211453,Promerica,Ahorro,9717,2020-08-18 13:09:45,debito
Alfie,Castellaccio,2344960856,BAM,Monetaria en Q,Elnore,Foy,6154977174,BANRURAL,Ahorro,5561,2020-07-12 00:42:24,debito
Alfie,Castellaccio,2344960856,G&T,Monetaria en $,Neill,Esser,7964176803,BI,Monetaria en Q,3874,2021-01-14 07:27:27,debito
Alfie,Castellaccio,2344960856,BANRURAL,Monetaria en $,Bobbette,Dutton,930849132,BI,Ahorro,4935,2020-03-04 11:20:09,debito
